Kısım,Sınıf,Sınıf açıklama,Yıl,Girişim sayısı,CR4,CR8,HHI 
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2012,13,60.54765268,93.98359366,0.130392971
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2013,19,68.09824462,85.31983507,0.233661161
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2014,23,45.56552306,72.11388184,0.078943976
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2015,21,51.43350413,74.03775331,0.09887044
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2009,24,93.63545297,99.10804797,0.351274474
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2010,18,91.94724046,98.96793787,0.340226539
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2011,21,93.12457958,98.42884263,0.38490477
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2012,25,85.80382897,95.54223825,0.238373262
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2013,29,83.21199887,94.53331143,0.229748797
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2014,32,71.52663432,91.54750282,0.161355981
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0893,Tuz çıkarımı,2015,33,84.90942858,94.87365465,0.228836666
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2009,337,46.91991047,58.2027749,0.074819406
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2010,286,59.28743241,68.27004508,0.117973478
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2011,364,57.5403029,68.14717737,0.104977522
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2012,408,50.36087042,60.99945651,0.100026834
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2013,529,27.34125825,38.21546139,0.029497356
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2014,656,32.06467208,45.08453654,0.034918868
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0899,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı,2015,568,33.13871376,45.27467584,0.038399443
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2009,12,89.4554388,98.90962767,0.445900005
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2010,20,88.76020927,96.58855359,0.475800165
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2011,26,74.8107874,92.58464923,0.217052079
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2012,30,82.26346969,92.77324473,0.200583265
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2013,42,86.12363053,92.22070764,0.311649649
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2014,49,85.93388337,95.42157624,0.235792907
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0910,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler,2015,50,78.36391001,94.84821788,0.216193139
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2009,11,91.82507342,99.79925666,0.294476267
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2010,13,81.12322709,97.0406298,0.229510597
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2011,13,91.12032518,98.43658703,0.41743965
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2012,20,68.56177179,88.84400744,0.181139212
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2013,39,61.59146404,72.43568205,0.148544133
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2014,48,39.00619396,66.37530342,0.065443796
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0990,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler,2015,52,66.88962467,81.60428002,0.180378036
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2009,174,45.39744857,57.3061934,0.104628603
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2010,189,56.90842871,68.69102138,0.148535689
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2011,227,53.84065532,66.01161902,0.111817713
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2012,228,47.0140303,60.11614123,0.084590798
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2013,265,43.73571754,53.72859279,0.062849702
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2014,288,43.77164436,55.71867351,0.071309459
"C - İmalat
      Manufacturing",1011,Etin işlenmesi ve saklanması,2015,246,47.59670174,58.33556094,0.086608236
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2009,44,49.13754914,78.1630663,0.089069718
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2010,44,45.42713388,74.39488381,0.081077777
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2011,47,44.51226648,73.06350809,0.076651159
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2012,53,42.2568396,72.08988352,0.07423623
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2013,51,49.32310845,76.53571204,0.086093211
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2014,54,47.73471762,74.12307001,0.083263407
"C - İmalat
      Manufacturing",1012,Kümes hayvanları etlerinin işlenmesi ve saklanması,2015,58,45.40203516,71.40356872,0.078207527
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2009,265,31.72085559,47.61517115,0.052042445
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2010,260,44.48813976,59.13116526,0.070550165
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2011,223,38.48829478,55.28865823,0.05545605
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2012,255,33.80966087,49.58526954,0.048370638
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2013,262,35.55467875,51.44492928,0.060725081
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2014,269,35.54723026,50.70639687,0.059385994
"C - İmalat
      Manufacturing",1013,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı,2015,288,35.10162784,50.29439324,0.056884997
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2009,54,51.56067748,69.55378596,0.091871572
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2010,59,44.18203949,59.24600978,0.088706198
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2011,58,51.33049445,65.64502951,0.105455525
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2012,69,49.78063984,64.20511166,0.091811022
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2013,87,42.68604442,59.08933255,0.068846245
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2014,122,41.2047799,62.66353767,0.068473278
"C - İmalat
      Manufacturing",1020,Balık. kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması,2015,123,47.71206324,65.06135276,0.086250737
